input_id,Incorrect,Correct
1,a,a
1,a,a
1,a,a
1,a,a
1,a,a
1,a,a
1,a,a
1,a,a
2,abadon,abandon
2,abandun,abandon
2,aandon,abandon
2,kbandon,abandon
2,abanon,abandon
2,absndon,abandon
2,bandon,abandon
2,aabndon,abandon
3,abanudoned,abandoned
3,bandoned,abandoned
3,obandoned,abandoned
3,abandond,abandoned
3,abatndoned,abandoned
3,abasndoned,abandoned
3,abamndoned,abandoned
3,abzndoned,abandoned
4,abdlity,ability
4,aility,ability
4,bailiyt,ability
4,ebility,ability
4,baility,ability
4,tbility,ability
4,abiliy,ability
4,bailyit,ability
5,ablt,able
5,albe,able
5,abl,able
5,aqble,able
5,aleb,able
5,iable,able
5,atble,able
5,abye,able
6,akout,about
6,abeout,about
6,aout,about
6,auout,about
6,eabout,about
6,absout,about
6,abuot,about
6,abouw,about
7,abodve,above
7,akove,above
7,aibove,above
7,boave,above
7,abovoe,above
7,bove,above
7,baove,above
7,obave,above
8,arboad,abroad
8,abrpoad,abroad
8,arobad,abroad
8,broad,abroad
8,ebroad,abroad
8,absoad,abroad
8,abroac,abroad
8,kabroad,abroad
9,basence,absence
9,asence,absence
9,basnece,absence
9,absewce,absence
9,abcence,absence
9,absenhe,absence
9,bsanece,absence
9,aqbsence,absence
10,abset,absent
10,asbten,absent
10,absen,absent
10,asent,absent
10,absnt,absent
10,asbent,absent
10,asbetn,absent
10,abent,absent
11,absolnte,absolute
11,absolure,absolute
11,absoljute,absolute
11,asolute,absolute
11,basolute,absolute
11,absoute,absolute
11,absolote,absolute
11,apsolute,absolute
12,absolbutely,absolutely
12,absoltuely,absolutely
12,abjolutely,absolutely
12,absoutely,absolutely
12,gbsolutely,absolutely
12,absowutely,absolutely
12,abolutely,absolutely
12,ubsolutely,absolutely
13,abborb,absorb
13,absoerb,absorb
13,abksorb,absorb
13,absaorb,absorb
13,absorrb,absorb
13,absodb,absorb
13,abskorb,absorb
13,absoxrb,absorb
14,abube,abuse
14,avuse,abuse
14,aubse,abuse
14,abue,abuse
14,abus,abuse
14,afbuse,abuse
14,aguse,abuse
14,abfse,abuse
15,academc,academic
15,acadermic,academic
15,acanemic,academic
15,acjademic,academic
15,acxademic,academic
15,academhc,academic
15,acasemic,academic
15,acadxemic,academic
16,accen,accent
16,accuent,accent
16,accnt,accent
16,xccent,accent
16,uccent,accent
16,accetn,accent
16,acent,accent
16,accet,accent
17,acepct,accept
17,vaccept,accept
17,acecpt,accept
17,accept,accept
17,accepft,accept
17,accepv,accept
17,zccept,accept
17,accet,accept
18,acceptdable,acceptable
18,acceptable,acceptable
18,cceptable,acceptable
18,acceptble,acceptable
18,aceptable,acceptable
18,acceptbale,acceptable
18,acceptbael,acceptable
18,accelptable,acceptable
19,acceos,access
